군별,dummy,birth_rate,cultural_center,social_welfare,active_firms,pop,urban_park,doctors,tris,kindergarten
충남 부여군,0.000,1.311,11.240,18.120,69.360,70187,9.640,1.840,10.543,3.989
충남 서천군,0.000,1.213,8.790,25.990,82.580,56012,16.360,2.070,11.962,3.571
충남 청양군,0.000,1.497,12.310,21.710,87.850,32753,3.060,1.600,13.129,3.969
충남 홍성군,0.000,1.354,8.460,18.510,81.800,99971,33.810,1.910,10.103,2.601
충남 예산군,0.000,1.160,13.180,23.550,80.060,81339,15.930,1.660,12.909,3.442
충남 태안군,0.000,1.321,11.030,23.970,89.830,63900,8.840,1.430,7.512,3.599
전북 완주군,0.000,1.697,16.790,28.770,66.190,95480,16.600,1.670,17.072,3.875
전북 진안군,0.000,1.821,15.270,41.550,68.180,26069,28.780,2.370,24.167,4.603
전북 무주군,0.000,1.460,31.720,19.690,91.650,24949,21.150,1.980,9.219,3.607
전북 장수군,0.000,1.388,17.180,30.000,67.200,23628,40.070,1.720,11.850,3.809
전북 임실군,0.000,1.634,16.520,16.690,74.450,30197,39.990,1.920,17.220,4.636
전북 순창군,0.000,1.475,23.140,23.050,70.600,29949,11.100,2.510,30.719,5.009
전북 고창군,0.000,1.278,11.660,14.980,79.150,60597,17.920,2.120,11.222,3.631
전북 부안군,0.000,1.178,14.070,8.690,82.440,57005,85.940,2.230,10.701,4.386
전남 담양군,0.000,1.599,14.890,42.390,74.950,47229,24.440,2.300,25.832,3.176
전남 곡성군,0.000,1.437,19.560,39.050,65.920,30400,20.270,2.150,16.447,2.632
전남 구례군,0.000,1.570,18.310,25.760,82.300,27412,15.880,2.310,15.687,4.378
전남 고흥군,0.000,1.091,11.660,21.540,73.070,67656,19.380,2.100,17.441,3.252
전남 보성군,0.000,1.700,19.850,17.440,80.450,44469,22.540,2.140,8.320,4.498
전남 화순군,0.000,1.219,9.110,22.460,64.280,65303,26.370,5.570,15.466,2.910
전남 장흥군,0.000,1.204,13.790,13.890,78.910,40669,23.400,1.910,8.114,4.180
전남 강진군,0.000,1.755,20.640,20.070,72.500,37753,55.610,2.060,12.714,3.708
전남 해남군,0.000,2.464,11.810,23.380,72.280,75121,8.030,1.940,9.185,3.062
전남 영암군,0.000,2.107,20.640,18.690,76.020,57045,42.590,1.600,25.944,3.155
전남 무안군,0.000,1.444,9.730,24.480,60.630,82109,11.430,1.790,11.570,2.558
전남 함평군,0.000,1.630,14.340,37.050,72.730,34397,13.830,2.700,13.373,3.489
전남 영광군,0.000,1.652,10.660,24.630,82.750,55618,21.600,2.330,14.564,3.416
전남 장성군,0.000,2.101,17.260,15.130,67.360,46104,6.800,1.640,23.208,3.470
전남 완도군,0.000,1.767,11.320,20.690,79.020,52668,24.530,1.750,9.493,4.747
전남 진도군,0.000,1.697,27.710,15.270,81.450,32078,21.260,1.850,10.599,4.053
전남 신안군,0.000,1.539,13.860,16.000,74.180,42652,91.940,1.960,4.220,5.158
경북 군위군,0.000,1.239,20.720,20.690,77.660,24171,19.880,1.280,23.582,3.310
경북 의성군,0.000,1.505,11.010,34.410,72.010,54014,31.290,1.580,12.219,2.962
경북 청송군,0.000,1.548,26.530,22.680,82.790,26301,17.220,2.050,8.365,3.042
경북 영양군,0.000,1.517,27.940,27.480,68.750,17713,35.810,1.340,10.162,4.516
경북 영덕군,0.000,1.542,10.210,10.100,95.610,39052,50.470,1.630,9.218,2.817
경북 청도군,0.000,1.081,11.440,27.280,84.200,43564,31.500,2.220,13.543,3.443
경북 고령군,0.000,1.710,11.560,22.840,102.190,34257,18.760,1.710,50.793,2.919
경북 성주군,0.000,1.674,8.880,22.230,88.190,45205,10.500,1.670,41.367,3.539
경북 칠곡군,0.000,1.583,5.700,22.940,86.900,123199,34.650,1.190,28.409,2.760
경북 예천군,0.000,1.544,11.190,17.740,72.900,46166,13.360,1.700,6.932,2.816
경북 봉화군,0.000,1.623,11.830,17.640,70.570,33539,20.340,1.450,8.050,5.069
경북 울진군,0.000,1.647,13.490,5.760,85.850,51738,26.900,1.620,12.950,3.093
경북 울릉군,0.000,1.164,39.400,19.490,124.030,10001,20.480,2.360,13.999,5.999
경남 의령군,0.000,1.317,17.520,34.240,67.210,28111,61.860,2.140,18.142,3.557
경남 함안군,0.000,1.450,7.230,24.730,94.510,68937,23.090,1.270,51.641,3.046
경남 창녕군,0.000,1.420,12.540,15.750,78.120,63982,50.850,2.240,18.443,3.438
경남 고성군,0.000,1.307,16.280,25.040,82.590,54703,22.740,1.740,15.538,3.290
경남 남해군,0.000,1.238,10.900,19.300,93.700,45129,21.890,1.720,13.517,2.216
경남 하동군,0.000,1.341,13.930,14.220,78.280,49622,22.620,1.590,11.688,3.023
경남 산청군,0.000,1.888,30.500,33.470,79.890,36098,17.370,1.520,10.527,3.601
경남 함양군,0.000,1.404,9.920,27.100,85.080,40241,30.930,1.590,19.632,2.982
경남 거창군,0.000,1.234,7.910,15.840,74.540,63308,12.720,1.710,11.057,2.527
경남 합천군,0.000,0.980,12.210,25.760,71.860,48026,6.180,1.830,13.951,3.540
